Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,PLLs and CCCs,Chip Globals
PLL/FCCC_C0_0/Primitives,0,0,0,1,1
Primitives/Primitives,44,23,3,0,2
